model,bin,freq,voltage_target,voltage_limit,chip_temp,board_temp,ok_core_pct,min_power
m50.vh60,bin2v1_C,36.7,1370,74,97,0000,29.8,unknown
m50.vh60,bin2v1_E,36.7,1370,72,97,0000,29.8,unknown
m50.vh60,bin2v1_G,36.7,1370,70,97,0000,29.8,unknown
m50.vh60,bin3v1_A,36.7,1380,80,97,0000,29.8,unknown
m50.vh60,bin3v1_C,36.7,1380,74,97,0000,29.8,unknown
m50.vh60,bin3v1_E,36.7,1380,72,97,0000,29.8,unknown
m50.vh60,bin3v1_G,36.7,1380,70,97,0000,29.8,unknown
m50.vh60,bin4v1_A,36.7,1390,80,97,0000,29.8,unknown
m50.vh60,bin4v1_C,36.7,1390,74,97,0000,29.8,unknown
m50.vh60,bin4v1_E,36.7,1390,72,97,0000,29.8,unknown
m50.vh60,bin4v1_G,36.7,1390,70,97,0000,29.8,unknown
m50.vh60,bin5v1_A,36.7,1400,80,97,0000,29.8,unknown
m50.vh60,bin5v1_C,36.7,1400,74,97,0000,29.8,unknown
m50.vh60,bin5v1_E,36.7,1400,72,97,0000,29.8,unknown
m50.vh60,bin5v1_G,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin1,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin2,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin3,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin4,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin5,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin6,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin9,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin10,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin11,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin12,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin13,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin14,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin15,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin16,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin17,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin18,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin19,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin20,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin1v1_A,36.7,1170,74,97,0000,29.8,unknown
m50.vh70,bin1v1_C,36.7,1170,72,97,0000,29.8,unknown
m50.vh70,bin1v1_E,36.7,1170,72,97,0000,29.8,unknown
m50.vh70,bin1v1_G,36.7,1170,70,97,0000,29.8,unknown
m50.vh70,bin2v1_A,36.7,1170,74,97,0000,29.8,unknown
m50.vh70,bin2v1_C,36.7,1170,72,97,0000,29.8,unknown
m50.vh70,bin2v1_E,36.7,1170,72,97,0000,29.8,unknown
m50.vh70,bin2v1_G,36.7,1170,70,97,0000,29.8,unknown
m50.vh70,bin3v1_A,36.7,1170,74,97,0000,29.8,unknown
m50.vh70,bin3v1_C,36.7,1170,72,97,0000,29.8,unknown
m50.vh70,bin3v1_E,36.7,1170,72,97,0000,29.8,unknown
m50.vh70,bin3v1_G,36.7,1170,70,97,0000,29.8,unknown
m50.vh70,bin4v1_A,36.7,1170,74,97,0000,29.8,unknown
m50.vh70,bin4v1_C,36.7,1170,72,97,0000,29.8,unknown
m50.vh70,bin4v1_E,36.7,1170,72,97,0000,29.8,unknown
